BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
118849470RR0046,BLESSED SACRAMENT PARISH,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,3040 HEATHER ST,VANCOUVER,BC,CA,V5Z3K3
857443600RR0001,BLESSINGS BAPTIST CHURCH,Registered,Charity,2004-06-25,,1,Advancement of Religion,30,1160 LANSDOWNE DR,COQUITLAM,BC,CA,V3B5V8
867769465RR0001,BLESSINGS EVANGELICAL BIBLE CHURCH,Registered,Charity,1997-09-23,,1,Advancement of Religion,70,406-1055 WEST BROADWAY,VANCOUVER,BC,CA,V6H1E2
118841584RR0001,BLESSINGS FOR OBEDIENCE CANADA SOCIETY,Registered,Charity,1987-01-01,,1,Advancement of Religion,70,1830 BRUNETTE AVE,COQUITLAM,BC,CA,V3K1H2
140614769RR0001,BLOCK WATCH SOCIETY OF BRITISH COLUMBIA,Registered,Charity,1994-07-01,,1,Other purposes beneficial to the community,160,891 MT BULMAN PL,VERNON,BC,CA,V1B2Z4
798113866RR0001,BLUE ECOLOGY INSTITUTE FOUNDATION,Registered,Charity,2021-01-01,,3,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
897763140RR0001,BLUE LAKE FOREST EDUCATION SOCIETY,Registered,Charity,2005-02-24,,1,Other purposes beneficial to the community,200,PO BOX 759 STN MAIN,CRANBROOK,BC,CA,V1C4J5
118811892RR0001,BLUE MOUNTAIN BAPTIST CHURCH,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,450 BLUE MOUNTAIN ST,COQUITLAM,BC,CA,V3K4K5
891071805RR0001,BLUE PLANET LINKS,Registered,Charity,2003-08-27,,3,Other purposes beneficial to the community,210,4465 W. 3RD AVENUE,VANCOUVER,BC,CA,V6R1M9
723053328RR0001,BLUEACT MARINE SOCIETY,Registered,Charity,2018-01-01,,1,Advancement of Education,11,PO BOX 191 473 GOWER POINT ROAD,GIBSONS,BC,CA,V0N1V0
886243831RR0001,BLUEBERRY CREEK COMMUNITY SCHOOL COUNCIL,Registered,Charity,2004-03-01,,1,Advancement of Education,11,200 CENTRE AVENUE,CASTLEGAR,BC,CA,V1N3B9
888055423RR0001,BOAT BASIN FOUNDATION,Registered,Charity,1998-07-30,,1,Other purposes beneficial to the community,170,208 - 700 CHILCO ST,VANCOUVER,BC,CA,V6G2R1
899497127RR0001,BOCA DEL LUPO THEATRE SOCIETY,Registered,Charity,1999-01-01,,1,Advancement of Education,12,1405 ANDERSON STREET,VANCOUVER,BC,CA,V6H3R5
887437432RR0001,BODDHISATTVA SAMANTABHADRA SUTRA ASSOCIATION,Registered,Charity,1999-01-01,,1,Advancement of Religion,60,1166 ALBERNI STREET SUITE 1701,VANCOUVER,BC,CA,V6E3Z3
118813252RR0001,BOLD LIVING SOCIETY,Registered,Charity,1985-01-01,,1,Advancement of Religion,70,12161 - 59TH AVENUE,SURREY,BC,CA,V3X3L4
863129920RR0001,BONNINGTON REGIONAL PARK SOCIETY,Registered,Charity,2001-01-01,,1,Other purposes beneficial to the community,200,3818 WOODCREST RD,BONNINGTON,BC,CA,V0G2G3
130623036RR0001,BONSOR 55+ SOCIETY,Registered,Charity,1986-01-01,,1,Other purposes beneficial to the community,200,6533 NELSON AVENUE,BURNABY,BC,CA,V5H0C2
862601077RR0001,BOOKS OVER BORDERS/LIVRES TRANSFRONTIÈRES,Registered,Charity,2004-11-15,,2,Advancement of Education,11,6 - 1134 11TH AVE W,VANCOUVER,BC,CA,V6H1K3
118813682RR0001,"BOONE, HODGSON, WILKINSON TRUST FUND",Registered,Charity,1983-07-24,,1,Advancement of Education,11,3072 YORK RD,CAMPBELL RIVER,BC,CA,V9H1A8
895935898RR0001,BOSTON PIZZA FOUNDATION,Registered,Charity,1990-03-26,,2,Other purposes beneficial to the community,210,201 - 13571 COMMERCE PKY,RICHMOND,BC,CA,V6V2R2
866275191RR0001,BOSWELL AND DISTRICT EMERGENCY VOLUNTEERS,Registered,Charity,2000-09-23,,1,Other purposes beneficial to the community,160,12019 3A HWY,DESTINY BAY,BC,CA,V0B1A3
118813880RR0001,BOSWELL MEMORIAL HALL,Registered,Charity,1987-11-01,,1,Other purposes beneficial to the community,200,12374 BOSWELL RD,BOSWELL,BC,CA,V0B1A4
865185839RR0001,BOUNDARY COMMUNITY CHURCH,Registered,Charity,1993-07-01,,1,Advancement of Religion,30,PO BOX 129,MIDWAY,BC,CA,V0H1M0
118813963RR0001,BOUNDARY COMMUNITY FOOD BANK SOCIETY,Registered,Charity,1988-11-04,,1,Relief of Poverty,1,7816A DONALDSON DR,GRAND FORKS,BC,CA,V0H1H2
132152752RR0001,BOUNDARY COMMUNITY HOSPICE ASSOCIATION,Registered,Charity,1988-04-19,,1,Relief of Poverty,1,BOX 2647,GRAND FORKS,BC,CA,V0H1H0
118813997RR0001,BOUNDARY FAMILY SERVICES SOCIETY,Registered,Charity,1984-04-01,,1,Relief of Poverty,1,BOX 2498,GRAND FORKS,BC,CA,V0H1H0
887765865RR0001,BOUNDARY HISTORICAL SOCIETY,Registered,Charity,1991-01-01,,1,Other purposes beneficial to the community,200,PO BOX 2346,GRAND FORKS,BC,CA,V0H1H0
118814011RR0001,BOUNDARY MUSEUM SOCIETY,Registered,Charity,1980-05-01,,1,Other purposes beneficial to the community,200,6145 RESERVOIR ROAD,GRAND FORKS,BC,CA,V0H1H5
130163967RR0001,BOUNDARY PASTORAL CHARGE,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,PO BOX 2408,GRAND FORKS,BC,CA,V0H1H0
140638008RR0001,BOUNDARY WOMEN'S COALITION,Registered,Charity,1992-11-06,,1,Relief of Poverty,1,P.O. BOX 181,GRAND FORKS,BC,CA,V0H1H0
876108507RR0001,BOWEN ISLAND CHRISTMAS HAMPER FUND,Registered,Charity,2003-10-22,,1,Relief of Poverty,1,27-455 GOVERNMENT ROAD PO BOX 19,BOWEN ISLAND,BC,CA,V0N1G0
883618514RR0001,BOWEN ISLAND COMMUNITY FOUNDATION,Registered,Charity,2002-12-03,,2,Other purposes beneficial to the community,210,PO BOX 18,BOWEN ISLAND,BC,CA,V0N1G0
867261299RR0001,BOWEN ISLAND CONSERVANCY,Registered,Charity,1997-08-26,,1,Other purposes beneficial to the community,170,P.O. BOX 301,BOWEN ISLAND,BC,CA,V0N1G0
877683789RR0001,BOWEN ISLAND HERITAGE PRESERVATION ASSOCIATION,Registered,Charity,1997-09-25,,1,Other purposes beneficial to the community,200,#20 ORCHARD LANE P.O. BOX 78,BOWEN ISLAND,BC,CA,V0N1G0
890495195RR0001,BOWEN ISLAND MEMORIAL GARDEN SOCIETY,Registered,Charity,1992-01-01,,1,Other purposes beneficial to the community,200,205 - 20894 57 AVE,LANGLEY,BC,CA,V3A8M7
118849470RR0074,BOWEN ISLAND MISSION - ARCHDIOCESE OF VANCOUVER,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,646 RICHARDS ST,VANCOUVER,BC,CA,V6B3A3
894085166RR0001,BOWEN ISLAND MONTESSORI SCHOOL SOCIETY,Registered,Charity,1995-07-01,,1,Advancement of Education,10,587B ARTISAN LANE,BOWEN ISLAND,BC,CA,V0N1G2
118814151RR0001,BOWEN ISLAND PASTORAL CHARGE,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,1122 MILLER RD,BOWEN ISLAND,BC,CA,V0N1G1
888890068RR0001,BOWEN ISLAND PUBLIC LIBRARY FOUNDATION,Registered,Charity,1989-06-01,,1,Other purposes beneficial to the community,210,P.O.BOX 10 430 BOWEN TRUNK ROAD,BOWEN ISLAND,BC,CA,V0N1G0
887851269RR0001,BOWEN ISLAND SENIORS KEEPING YOUNG SOCIETY,Registered,Charity,1994-09-01,,1,Other purposes beneficial to the community,200,20 - 1070 MILLER RD,BOWEN ISLAND,BC,CA,V0N1G1
890511975RR0001,BOYS & GIRLS CLUBS OF GREATER VICTORIA FOUNDATION,Registered,Charity,1991-04-01,,2,Relief of Poverty,1,301-1195 ESQUIMALT RD.,VICTORIA,BC,CA,V9A3N6
106804032RR0002,BOYS AND GIRLS CLUB SERVICES OF GREATER VICTORIA,Registered,Charity,2000-04-01,,1,Advancement of Education,13,301-1195 ESQUIMALT RD.,VICTORIA,BC,CA,V9A3N6
106804016RR0001,BOYS AND GIRLS CLUBS OF CENTRAL VANCOUVER ISLAND,Registered,Charity,1978-01-01,,1,Relief of Poverty,1,2290 BOWEN RD,NANAIMO,BC,CA,V9T3K7
106804594RR0001,BOYS' & GIRLS' CLUB OF KAMLOOPS,Registered,Charity,1967-01-01,,1,Relief of Poverty,1,150 WOOD ST,KAMLOOPS,BC,CA,V2B0G6
858902711RR0001,BPD EDUCATION DEVELOPMENT ASSOCIATION,Registered,Charity,2004-04-06,,1,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
106805260RR0001,BRADNER PRESBYTERIAN CHURCH,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,5275 BRADNER RD,ABBOTSFORD,BC,CA,V4X2P1
892237967RR0001,BRAHMA KUMARIS WORLD SPIRITUAL,Registered,Charity,1996-09-13,,1,Advancement of Religion,30,5011 SMITH AVE,BURNABY,BC,CA,V5G2W6
140202003RR0001,BRAINTRUST CANADA ASSOCIATION,Registered,Charity,1989-04-01,,1,Other purposes beneficial to the community,100,100 - 215 LAWRENCE AVE,KELOWNA,BC,CA,V1Y6L2
106805575RR0001,BRALORNE-PIONEER MUSEUM SOCIETY,Registered,Charity,2004-02-16,,1,Other purposes beneficial to the community,200,3767 LILLOOET-PIONEER HWY 40,BRALORNE,BC,CA,V0K1P0
890833692RR0001,BRANT VILLA DAY CARE SOCIETY,Registered,Charity,1998-01-01,,1,Other purposes beneficial to the community,160,4103 BRANT ST,VANCOUVER,BC,CA,V5N5B5
891853038RR0001,BREAD OF LIFE CHRISTIAN CHURCH IN SURREY LING LEUNG WORLDWIDE EVANGELICAL MISSION,Registered,Charity,1996-05-21,,1,Advancement of Religion,30,116 - 13045 84 AVE,SURREY,BC,CA,V3W1B3
856277751RR0001,BREAKTHROUGH CHURCH OF GOD INTERNATIONAL,Registered,Charity,1988-01-01,,1,Advancement of Religion,30,11931 NO 2 RD,RICHMOND,BC,CA,V7E2E9
864706585RR0001,"BRECHIN UNITED CHURCH,",Registered,Charity,1967-01-01,,1,Advancement of Religion,30,2020 ESTEVAN RD,NANAIMO,BC,CA,V9S0C9
129908489RR0001,BRELLA COMMUNITY SERVICES SOCIETY,Registered,Charity,1977-10-24,,1,Relief of Poverty,1,15008 26 AVE,SURREY,BC,CA,V4P3H5
896907409RR0001,BRENTWOOD BAY OLD SCHOOL HALL SOCIETY,Registered,Charity,2004-03-31,,1,Other purposes beneficial to the community,210,21-2654 LANCELOT PL,SAANICHTON,BC,CA,V8M1V3
118817402RR0001,BRENTWOOD COLLEGE ASSOCIATION,Registered,Charity,1967-01-01,,1,Advancement of Education,10,2735 MT BAKER ROAD,MILL BAY,BC,CA,V0R2P1
866657430RR0001,BRENTWOOD COLLEGE FOUNDATION,Registered,Charity,2001-07-01,,2,Advancement of Education,15,2735 MOUNT BAKER RD.,MILL BAY,BC,CA,V0R2P1
106808314RR0001,BRENTWOOD NURSERY SCHOOL SOCIETY,Registered,Charity,1991-09-01,,1,Advancement of Education,10,1455A DELTA AVE,BURNABY,BC,CA,V5B3G4
118817436RR0001,BRENTWOOD PARK ALLIANCE CHURCH,Registered,Charity,1967-01-01,,1,Advancement of Religion,30,1410 DELTA AVE,BURNABY,BC,CA,V5B3G2
106808363RR0001,BRENTWOOD PRESBYTERIAN CHURCH,Registered,Charity,1978-12-30,,1,Advancement of Religion,30,1600 DELTA AVE,BURNABY,BC,CA,V5B3G2
895681047RR0001,BRIDGE COMMUNITY CHURCH,Registered,Charity,1995-01-27,,1,Advancement of Religion,30,PO BOX 56115 RPO VALLEY CENTRE,LANGLEY,BC,CA,V3A8B3
895585222RR0001,BRIDGE TO LIFE SOCIETY,Registered,Charity,1986-03-19,,1,Advancement of Religion,70,13180 BELL ST,MISSION,BC,CA,V4S1C6
838593556RR0001,BRIDGE TO RIGHT WAY,Registered,Charity,2008-10-01,,1,Advancement of Education,11,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
136019148RR0001,BRIDGES FOR WOMEN SOCIETY,Registered,Charity,1995-04-01,,1,Other purposes beneficial to the community,160,219 - 645 FORT ST,VICTORIA,BC,CA,V8W1G2
128557899RR0001,BRIDGES HOME CHURCH CHRISTIAN COMMUNITY OF CENTRAL VANCOUVER ISLAND,Registered,Charity,1989-01-01,,1,Advancement of Religion,30,72 RIVER TERRACE,NANAIMO,BC,CA,V9X1E1
889637823RR0001,BRIDGES TO NEW LIFE SOCIETY,Registered,Charity,1998-06-26,,1,Other purposes beneficial to the community,160,1197 SUTHERLAND AVENUE,KELOWNA,BC,CA,V1Y5Y2
131219578RR0001,"BRIGHOUSE UNITED CHURCH,",Registered,Charity,1967-01-01,,1,Advancement of Religion,30,8151 BENNETT RD,RICHMOND,BC,CA,V6Y1N4
119217156RR0001,BRITANNIA COMMUNITY SERVICES CENTRE SOCIETY,Registered,Charity,1981-12-27,,1,Other purposes beneficial to the community,200,1661 NAPIER ST,VANCOUVER,BC,CA,V5L4X4
854014842RR0001,BRITANNIA COMMUNITY SERVICES FOUNDATION,Registered,Charity,2002-12-09,,2,Other purposes beneficial to the community,210,1661 NAPIER ST,VANCOUVER,BC,CA,V5L4X4
892203779RR0001,BRITANNIA HERITAGE SHIPYARD SOCIETY,Registered,Charity,1993-01-01,,1,Other purposes beneficial to the community,200,5180 WESTWATER DRIVE,RICHMOND,BC,CA,V7E6P3
889070462RR0001,BRITANNIA SUPPORT SOCIETY,Registered,Charity,1993-09-03,,1,Advancement of Education,11,1001 COTTON DR,VANCOUVER,BC,CA,V5L3T4
851842831RR0001,BRITISH COLUMBIA (BC) CHIHUAHUA RESCUE,Registered,Charity,2005-02-18,,1,Other purposes beneficial to the community,180,4711 FAIRBROOK CRES,NANAIMO,BC,CA,V9T6L7
893638106RR0001,BRITISH COLUMBIA ACHIEVEMENT FOUNDATION,Registered,Charity,2003-04-01,,1,Advancement of Education,11,602 - 999 CANADA PL,VANCOUVER,BC,CA,V6C3E1
891720161RR0001,BRITISH COLUMBIA AGRICULTURE IN THE CLASSROOM FOUNDATION,Registered,Charity,1996-03-23,,1,Advancement of Education,10,1767 ANGUS CAMPBELL RD,ABBOTSFORD,BC,CA,V3G2M3
870704442RR0001,BRITISH COLUMBIA ASSOCIATION OF HEALTH-CARE AUXILIARIES TRIBUTE FUND,Registered,Charity,1992-04-30,,1,Advancement of Education,11,200 1333 WEST BROADWAY,VANCOUVER,BC,CA,V6H4C6
132023128RR0002,BRITISH COLUMBIA ASSOCIATION OF HEALTHCARE AUXILIARIES,Registered,Charity,1994-01-01,,1,Other purposes beneficial to the community,110,682 MONTCALM RD,TRAIL,BC,CA,V1R2J8
118818376RR0001,BRITISH COLUMBIA ASSOCIATION OF SPEECH/LANGUAGE PATHOLOGISTS AND AUDIOLOGISTS,Registered,Charity,1982-10-01,,1,Other purposes beneficial to the community,100,410 - 1755 BROADWAY W,VANCOUVER,BC,CA,V6J4S5
865182737RR0001,BRITISH COLUMBIA ASSOCIATION OF STUDENT ACTIVITY ADVISORS (B.C.A.S.A.A.),Registered,Charity,2006-09-13,,1,Advancement of Education,11,36224 SHADBOLT AVE,ABBOTSFORD,BC,CA,V3G3C4
892778366RR0001,BRITISH COLUMBIA AUTISM FOUNDATION,Registered,Charity,1995-04-01,,1,Other purposes beneficial to the community,100,3688 CESSNA DR,RICHMOND,BC,CA,V7B1C7
890745789RR0001,BRITISH COLUMBIA AVIATION COUNCIL,Registered,Charity,1981-08-01,,1,Other purposes beneficial to the community,160,306 - 8300 BENNETT RD,RICHMOND,BC,CA,V6Y1N5
131789398RR0001,BRITISH COLUMBIA AVIATION MUSEUM,Registered,Charity,1983-12-09,,1,Other purposes beneficial to the community,200,1910 NORSEMAN ROAD,NORTH SAANICH,BC,CA,V8L5V5
106811805RR0001,BRITISH COLUMBIA BAPTIST CONFERENCE,Registered,Charity,1982-01-01,,1,Advancement of Religion,30,20581 36 AVE,LANGLEY,BC,CA,V3A4Y3
133476333RR0001,BRITISH COLUMBIA BEREAVEMENT HELPLINE,Registered,Charity,1998-06-15,,1,Other purposes beneficial to the community,160,PO BOX 98853 RPO THE,VANCOUVER,BC,CA,V6B0M4
890119985RR0001,BRITISH COLUMBIA BLIND SPORTS AND RECREATION ASSOCIATION,Registered,Charity,1985-11-19,,1,Other purposes beneficial to the community,200,606 - 4980 KINGSWAY,BURNABY,BC,CA,V5H4K7
118818418RR0001,BRITISH COLUMBIA BORSTAL ASSOCIATION,Registered,Charity,1967-01-01,,1,Other purposes beneficial to the community,160,554 21ST AVE W,VANCOUVER,BC,CA,V5Z1Y6
872794102RR0001,BRITISH COLUMBIA BUILDING ENVELOPE COUNCIL EDUCATION FOUNDATION,Registered,Charity,2004-01-01,,2,Advancement of Education,15,1410 55 ST,DELTA,BC,CA,V4M3K5
132004169RR0001,BRITISH COLUMBIA CENTRE FOR ABILITY ASSOCIATION,Registered,Charity,1978-08-16,,1,Other purposes beneficial to the community,100,2805 KINGSWAY,VANCOUVER,BC,CA,V5R5H9
132659053RR0001,BRITISH COLUMBIA CENTRE FOR ABILITY FOUNDATION,Registered,Charity,1988-07-21,,2,Other purposes beneficial to the community,210,2805 KINGSWAY,VANCOUVER,BC,CA,V5R5H9
898567516RR0001,BRITISH COLUMBIA CHRISTIAN ACADEMY FOUNDATION,Registered,Charity,2000-12-21,,2,Other purposes beneficial to the community,210,1019 FERNWOOD AVENUE,PORT COQUITLAM,BC,CA,V3B5A8
898976287RR0001,BRITISH COLUMBIA CHRISTIAN ACADEMY SOCIETY,Registered,Charity,1993-05-17,,1,Advancement of Education,10,1019 FERNWOOD AVE,PORT COQUITLAM,BC,CA,V3B5A8
119062099RR0001,BRITISH COLUMBIA CHRISTIAN ASHRAM,Registered,Charity,1983-01-22,,1,Advancement of Religion,30,102 - 15168 19 AVE,SURREY,BC,CA,V4A0A5
888466844RR0001,BRITISH COLUMBIA CIVIL LIBERTIES ASSOCIATION,Registered,Charity,1979-01-01,,1,Other purposes beneficial to the community,160,306 - 268 KEEFER ST,VANCOUVER,BC,CA,V6A1X5
136052859RR0001,BRITISH COLUMBIA COUNCIL FOR INTERNATIONAL COOPERATION,Registered,Charity,1995-04-03,,1,Relief of Poverty,1,400 - 2175 SALAL DR,VANCOUVER,BC,CA,V6K4V2
891569873RR0001,BRITISH COLUMBIA CRIME STOPPERS SOCIETY,Registered,Charity,1998-04-01,,1,Other purposes beneficial to the community,160,1107 ALLISON PL,WEST KELOWNA,BC,CA,V1Z2E1
132072646RR0001,BRITISH COLUMBIA CRIMINAL JUSTICE ASSOCIATION,Registered,Charity,1990-11-13,,1,Other purposes beneficial to the community,160,43389 OLD ORCHARD LANE,LINDELL BEACH,BC,CA,V2R0Z4
118818533RR0001,BRITISH COLUMBIA DEAF SPORTS FEDERATION,Registered,Charity,1981-01-01,,1,Relief of Poverty,1,4-320 COLUMBIA ST,NEW WESTMINSTER,BC,CA,V3L1A6
888717592RR0001,BRITISH COLUMBIA DRAGOONS WHIZZBANG ASSOCIATION,Registered,Charity,1996-01-01,,1,Other purposes beneficial to the community,160,720 LAWRENCE AVE,KELOWNA,BC,CA,V1Y6L9
841228612RR0001,BRITISH COLUMBIA EASTER SEAL SOCIETY,Registered,Charity,2008-02-27,,1,Other purposes beneficial to the community,110,3981 OAK STREET,VANCOUVER,BC,CA,V6H4H5
892347162RR0001,BRITISH COLUMBIA ENTERTAINMENT HALL OF FAME SOCIETY,Registered,Charity,1994-06-16,,1,Other purposes beneficial to the community,200,402 - 2430 POINT GREY RD,VANCOUVER,BC,CA,V6K1A2
118818541RR0001,BRITISH COLUMBIA EPILEPSY SOCIETY,Registered,Charity,1967-01-01,,1,Other purposes beneficial to the community,100,PO BOX 30521 RPO MADISON,BURNABY,BC,CA,V5C6J5
890847064RR0001,BRITISH COLUMBIA FAMILYCARE FOUNDATION,Registered,Charity,1989-04-01,,1,Relief of Poverty,1,#3- 22374 LOUGHEED HWY,MAPLE RIDGE,BC,CA,V2X2T5
888318797RR0001,BRITISH COLUMBIA FIELD ORNITHOLOGISTS,Registered,Charity,1996-01-01,,1,Other purposes beneficial to the community,180,3796 COMMERCIAL ST,VANCOUVER,BC,CA,V5N4G2
832943567RR0001,BRITISH COLUMBIA FILM FOUNDATION,Registered,Charity,2007-12-21,,1,Advancement of Education,12,2225 BROADWAY W,VANCOUVER,BC,CA,V6K2E4
800819013RR0001,BRITISH COLUMBIA FOOTBALL HALL OF FAME,Registered,Charity,2009-03-31,,1,Other purposes beneficial to the community,200,130 - 1959 152 ST,SURREY,BC,CA,V4A0C4
106811896RR0001,BRITISH COLUMBIA FOREST MUSEUM,Registered,Charity,1978-04-01,,1,Other purposes beneficial to the community,200,2892 DRINKWATER RD,DUNCAN,BC,CA,V9L6C2
890188998RR0001,BRITISH COLUMBIA FOUNDATION FOR NON ANIMAL RESEARCH,Registered,Charity,1971-01-01,,2,Other purposes beneficial to the community,210,P.O. BOX 38035 KING EDWARD MALL P.O.,VANCOUVER,BC,CA,V5Z4L9
118818608RR0001,BRITISH COLUMBIA GENEALOGICAL SOCIETY,Registered,Charity,1979-01-01,,1,Advancement of Education,11,PO BOX 88054 LANSDOWNE MALL,RICHMOND,BC,CA,V6X3T6
883784225RR0001,BRITISH COLUMBIA GIRLS CHOIR SOCIETY,Registered,Charity,1999-07-01,,1,Advancement of Education,12,3942 201A ST.,LANGLEY,BC,CA,V3A1R2
891311763RR0001,BRITISH COLUMBIA GUIDE DOG SERVICES,Registered,Charity,1996-06-28,,1,Advancement of Education,10,7061 LADNER TRUNK ROAD,DELTA,BC,CA,V4K3N3
891471443RR0001,BRITISH COLUMBIA GUILD OF ENGLISH HANDBELL RINGERS,Registered,Charity,1996-01-01,,1,Other purposes beneficial to the community,190,20505 118 AVE,MAPLE RIDGE,BC,CA,V2X2M5
892422965RR0001,BRITISH COLUMBIA HOCKEY HALL OF FAME SOCIETY,Registered,Charity,1995-01-01,,1,Other purposes beneficial to the community,200,414 ELLIS STREET,PENTICTON,BC,CA,V2A4M2
860161785RR0001,BRITISH COLUMBIA HOSPITALITY FOUNDATION,Registered,Charity,2010-08-06,,1,Relief of Poverty,1,PO BOX 63515 RPO CAPILANO,NORTH VANCOUVER,BC,CA,V7P3P1
891004749RR0001,BRITISH COLUMBIA HUMANIST ASSOCIATION,Registered,Charity,1989-02-01,,1,Other purposes beneficial to the community,160,170 - 422 RICHARDS ST,VANCOUVER,BC,CA,V6B2Z4
118818673RR0001,BRITISH COLUMBIA INDIAN LANGUAGE PROJECT,Registered,Charity,1991-08-10,,1,Advancement of Education,11,2592 MILL BAY RD,MILL BAY,BC,CA,V0R2P1
876776824RR0001,BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY FOUNDATION,Registered,Charity,1999-04-01,,2,Advancement of Education,11,3700 WILLINGDON AVENUE,BURNABY,BC,CA,V5G3H2
105199319RR0001,BRITISH COLUMBIA JODO SHINSHU BUDDHIST TEMPLES FEDERATION,Registered,Charity,1987-11-01,,1,Advancement of Religion,60,4515 BOLDUC ROAD,VERNON,BC,CA,V1B3J1
867030132RR0001,BRITISH COLUMBIA LAKE STEWARDSHIP SOCIETY,Registered,Charity,2000-05-15,,1,Other purposes beneficial to the community,170,5505 JACOBSON ROAD BOX : 110,BIG LAKE RANCH,BC,CA,V0L1G0
889858635RR0001,BRITISH COLUMBIA LAW INSTITUTE,Registered,Charity,1997-04-01,,1,Advancement of Education,10,1822 EAST MALL UNIVERSITY OF BRITISH COLUMBIA,VANCOUVER,BC,CA,V6T1Z1
897487468RR0001,BRITISH COLUMBIA LIBRARY ASSOCIATION,Registered,Charity,1985-04-01,,2,Other purposes beneficial to the community,200,PO BOX 19008 RPO ROCKY,PORT MOODY,BC,CA,V3H0J1
106811979RR0001,BRITISH COLUMBIA LUNG ASSOCIATION,Registered,Charity,1967-01-01,,1,Other purposes beneficial to the community,100,2675 OAK STREET,VANCOUVER,BC,CA,V6H2K2
889781571RR0001,BRITISH COLUMBIA MASONIC FOUNDATION,Registered,Charity,1990-05-01,,2,Other purposes beneficial to the community,210,600-925 GEORGIA ST W,VANCOUVER,BC,CA,V6C3L2
118818707RR0001,BRITISH COLUMBIA MEDICAL FOUNDATION,Registered,Charity,1988-09-09,,2,Advancement of Education,11,115-1665 WEST BROADWAY,VANCOUVER,BC,CA,V6J5A4
118818723RR0001,BRITISH COLUMBIA MOBILITY OPPORTUNITIES SOCIETY,Registered,Charity,1988-03-28,,1,Relief of Poverty,1,110 - 2285 CLARK DR,VANCOUVER,BC,CA,V5N3G9
132657446RR0001,BRITISH COLUMBIA MUSEUMS ASSOCIATION,Registered,Charity,1981-08-01,,1,Other purposes beneficial to the community,200,675 BELLEVILLE ST,VICTORIA,BC,CA,V8W9W2
118818756RR0001,BRITISH COLUMBIA NEW CHURCH SOCIETY SWEDENBORGIAN,Registered,Charity,1971-04-14,,1,Advancement of Religion,30,3616 MOUNTAIN AVE,SUMMERLAND,BC,CA,V0H1Z2
841621956RR0001,BRITISH COLUMBIA NEW HOPE RECOVERY SOCIETY,Registered,Charity,2008-04-24,,1,Other purposes beneficial to the community,100,PO BOX 48384 STN BENTALL,VANCOUVER,BC,CA,V7X1A2
118818798RR0001,BRITISH COLUMBIA PARAPLEGIC FOUNDATION,Registered,Charity,1976-01-01,,2,Other purposes beneficial to the community,160,780 S.W. MARINE DRIVE,VANCOUVER,BC,CA,V6P5Y7
891475345RR0001,BRITISH COLUMBIA PROFESSIONAL FIREFIGHTERS BURN FUND,Registered,Charity,1989-03-21,,1,Other purposes beneficial to the community,110,3891 MAIN ST,VANCOUVER,BC,CA,V5V3P1
119217255RR0001,BRITISH COLUMBIA PROVINCIAL WOMEN'S INSTITUTE,Registered,Charity,1978-02-01,,1,Other purposes beneficial to the community,160,PO BOX 36,BARRIERE,BC,CA,V0E1E0
122643802RR0001,BRITISH COLUMBIA RAILWAY HISTORICAL ASSOCIATION,Registered,Charity,1987-11-01,,1,Other purposes beneficial to the community,200,341 - 3965 SHELBOURNE ST,VICTORIA,BC,CA,V8N6J4
122276306RR0001,BRITISH COLUMBIA RECREATION AND PARKS ASSOCIATION,Registered,Charity,1989-01-01,,1,Other purposes beneficial to the community,200,PO BOX 2196 STN TERMINAL,VANCOUVER,BC,CA,V6B3V7
893915363RR0001,BRITISH COLUMBIA REHABILITATION FOUNDATION,Registered,Charity,1995-02-20,,2,Other purposes beneficial to the community,210,4255 LAUREL STREET,VANCOUVER,BC,CA,V5Z2G9
891540544RR0001,BRITISH COLUMBIA REHABILITATION SOCIETY,Registered,Charity,1967-01-01,,1,Other purposes beneficial to the community,100,4255 LAUREL ST,VANCOUVER,BC,CA,V5Z2G9
118801141RR0001,BRITISH COLUMBIA SCHIZOPHRENIA SOCIETY,Registered,Charity,1984-01-01,,1,Other purposes beneficial to the community,100,1100 - 1200 73RD AVE W,VANCOUVER,BC,CA,V6P6G5
860639970RR0001,"BRITISH COLUMBIA SCHIZOPHRENIA SOCIETY, PRINCE GEORGE BRANCH",Registered,Charity,2006-04-01,,1,Other purposes beneficial to the community,100,PO BOX 504 STN A,PRINCE GEORGE,BC,CA,V2L4S6
