Designation description:,Charity type:,Category:,Business Registration Number:,Website:,Mailing Address:
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764348314RR0001,n/a,"36 IRON WOLF RIDGELACOMBE, AlbertaT4L2K2CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764969085RR0001,n/a,"13 TUSCANY MEADOWS PL NWCALGARY, AlbertaT3L2R9CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764343117RR0001,n/a,"413 SILVERTHORN WAY NWCALGARY, AlbertaT3B4E8CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764980280RR0001,n/a,"3728 48B AVEDRAYTON VALLEY, AlbertaT7A1T3CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764966883RR0001,n/a,"PO BOX 2597 STN MAINSTONY PLAIN, AlbertaT7Z1X9CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764340113RR0001,n/a,"107 - 5735 54 STROCKY MOUNTAIN HOUSE, AlbertaT4T1S1CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764340717RR0001,n/a,"17807 92 ST NWEDMONTON, AlbertaT5Z2L8CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764342515RR0001,n/a,"419 - 3670 139 AVE NWEDMONTON, AlbertaT5Y3N5CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764344313RR0001,n/a,"6149 157A AVE NWEDMONTON, AlbertaT5Y2P6CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764342317RR0001,n/a,"10118B 91 AVEPEACE RIVER, AlbertaT8S1H2CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764349718RR0001,n/a,"1B - 5710 50 AVEYELLOWKNIFE, Northwest TerritoriesX1A1G1CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,748142510RR0001,n/a,"1634 TAMARACK BLVD NWEDMONTON, AlbertaT6T0V7CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764971081RR0001,JW.ORG,"10121 81 ST NWEDMONTON, AlbertaT6A3K6CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764341715RR0001,n/a,"263 BANISTER DROKOTOKS, AlbertaT1S1P7CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,764975082RR0001,n/a,"2055 17 ST SEMEDICINE HAT, AlbertaT1A2B4CA"
Charitable Organization,Advancement of Religion,Christianity / Mennonite / Brethren / Hutterite,108070822RR0001,www.abmb.ca,"209 - 240 MIDPARK WAY SECALGARY, AlbertaT2X1N4CA"
Charitable Organization,Advancement of Religion,Christianity / Other,118780980RR0001,n/a,"49 CASCADE CRESSHERWOOD PARK, AlbertaT8H0L9CA"
Charitable Organization,Advancement of Religion,Christianity / Protestant,130559404RR0001,n/a,"10014 81 AVEEDMONTON, AlbertaT6E1W8CA"
Charitable Organization,Advancement of Religion,Christianity / Baptist,106703382RR0001,n/a,"PO BOX 340ALBERTON, Prince Edward IslandC0B1B0CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,747935112RR0001,n/a,"416 CHURCH ST, PO BOX 284ALBERTON, Prince Edward IslandC0B1B0CA"
Charitable Organization,Advancement of Religion,Christianity / Presbyterian,118781392RR0001,WWW.ALBERTONCHURCH.CA,"50 WYNFORD DRNORTH YORK, OntarioM3C1J7CA"
Charitable Organization,Advancement of Religion,Christianity / Other,737007120RR0001,n/a,"14439 CASCUMPEC RDALBERTON, Prince Edward IslandC0B1B0CA"
Charitable Organization,Advancement of Religion,Christianity / United,867619058RR0001,n/a,"PO BOX 381ALBERTON, Prince Edward IslandC0B1B0CA"
Charitable Organization,Advancement of Religion,Christianity / Other,825585540RR0001,n/a,"BOX 72HAFFORD, SaskatchewanS0J1A0CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,747864882RR0001,n/a,"6441 ENGLISH CHURCH RDMOUNT HOPE, OntarioL0R1W0CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,745149682RR0001,n/a,"1285 WILSON AVENORTH YORK, OntarioM3M3C6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,850021429RR0001,WWW.ALBRIGHTCHURCH.COM,"415 MAXWELL KING DREAST ST PAUL, ManitobaR2E0P4CA"
Charitable Organization,Advancement of Religion,Christianity / Mennonite / Brethren / Hutterite,868760307RR0001,ALDERBROOKCHURCH.COM,"32025 GEORGE FERGUSON WAY, UNIT 303ABBOTSFORD, British ColumbiaV2T2K7CA"
Charitable Organization,Advancement of Religion,Christianity / Other,106696537RR0001,WWW.ALDERGROVEALLIANCE.ORG,"26291 28 AVENUEALDERGROVE, British ColumbiaV4W2W3CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,765273115RR0001,n/a,"28280 MYRTLE AVEABBOTSFORD, British ColumbiaV4X2P4CA"
Charitable Organization,Advancement of Religion,Christianity / Other,887979243RR0001,WWW.ALDERGROVEGOSPELCHAPEL.CA,"PO BOX 41 STN ALDERGROVEALDERGROVE, British ColumbiaV4W2T7CA"
Charitable Organization,Advancement of Religion,Christianity / United,133449223RR0001,n/a,"101 - 27336 FRASER HWYALDERGROVE, British ColumbiaV4W3N5CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,745604488RR0001,n/a,"1441 BERKO CRTBURLINGTON, OntarioL7P4W4CA"
Charitable Organization,Advancement of Religion,Christianity / United,118781855RR0001,n/a,"RR 2ROSENEATH, OntarioK0K2X0CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,744636317RR0001,n/a,"4 MITCHAM DRETOBICOKE, OntarioM8W2J7CA"
Charitable Organization,Advancement of Religion,Christianity / United,106696784RR0001,WWW.ALDERWOODUC.CA,"44 DELMA DRIVETORONTO, OntarioM8W4N6CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,744595711RR0001,n/a,"108 - 15 BEDFORD PARK AVETORONTO, OntarioM5M1H8CA"
Charitable Organization,Advancement of Religion,Christianity / United,887860260RR0001,n/a,"BOX 75ALEXANDER, ManitobaR0K0A0CA"
Charitable Organization,Advancement of Religion,Christianity / Presbyterian,118782069RR0001,n/a,"410 COLBORNE STBRANTFORD, OntarioN3S3N6CA"
Charitable Organization,Advancement of Religion,Christianity / Baptist,118782077RR0001,n/a,"1140 POWNAL RD - RTE 26ALEXANDRA, Prince Edward IslandC1B0P6CA"
Charitable Organization,Advancement of Religion,Christianity / United,118782101RR0001,n/a,"P.O. BOX 817, 36 KINCARDINE STALEXANDRIA, OntarioK0C1A0CA"
Charitable Organization,Advancement of Religion,Christianity / Pentecostal,107293672RR0001,WWW.ALEXISPARKCHURCH.COM,"3906 35A STVERNON, British ColumbiaV1T6W1CA"
Charitable Organization,Advancement of Religion,Christianity / Other,854257003RR0001,WWW.ALGONQUINCOLLEGE.COM/CAMPUS-MINISTRY,"E211 - 1385 WOODROFFE AVENEPEAN, OntarioK2G1V8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,107771370RR0001,n/a,"145 PONY DRIVENEWMARKET, OntarioL3Y7B5CA"
Charitable Organization,Advancement of Religion,Christianity / Other,788745941RR0001,n/a,"1095 RUE PASTEURBROSSARD, QuebecJ4W2B5CA"
Charitable Organization,Advancement of Religion,Christianity / Pentecostal,119192565RR0001,n/a,"BOX 373STONEWALL, ManitobaR0C2Z0CA"
Charitable Organization,Advancement of Religion,Christianity / Other,710817289RR0001,n/a,"4254 CHICHAK CLOSE SWEDMONTON, AlbertaT6W4B4CA"
Private Foundation,Advancement of Religion,Christianity / Other,140784513RR0001,n/a,"3425-2ND AVENUE SOUTHLETHBRIDGE, AlbertaT1J4V1CA"
Charitable Organization,Advancement of Religion,Christianity / Other,106700198RR0001,n/a,"PO BOX 700ALIX, AlbertaT0C0B0CA"
Charitable Organization,Advancement of Religion,Christianity / United,890669393RR0001,DPMCDERMAND@GMAIL.COM,"BOX 9ALIX, AlbertaT0C0B0CA"
Charitable Organization,Advancement of Religion,Christianity / Other,767111537RR0001,n/a,"1008-95 BASE LINE ROAD WESTLONDON, OntarioN6J4X3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,808586895RR0001,WWW.ALLACCESSMINISTRIES.ORG,"PO BOX 96086CALGARY, AlbertaT3H0L3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,106702608RR0001,n/a,"5819 189A STSURREY, British ColumbiaV3S7R7CA"
Private Foundation,Advancement of Religion,Christianity / Other,721798916RR0001,n/a,"70 COPPERSTONE CLOSE SOUTHEASTCALGARY, AlbertaT2Z0P4CA"
Charitable Organization,Advancement of Religion,Christianity / Other,106702590RR0001,WWW.ALLNATIONSCRC.ORG,"2535 ROBIE STREETHALIFAX, Nova ScotiaB3K4N3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,865363881RR0001,WWW.ANBC.CA,"2355 DERRY RD, UNIT 9EAST MISSISSAUGA, OntarioL5S1V6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,134748805RR0001,n/a,"7 WOLFE COURTVAUGHAN, OntarioL4J6T9CA"
Charitable Organization,Advancement of Religion,Christianity / Other,118860634RR0001,n/a,"220 ALLARD STCOQUITLAM, British ColumbiaV3K4K8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,888061371RR0001,PRAY.CA,"108, 2640-52 ST. NECALGARY, AlbertaT1Y3R6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,888021847RR0001,WWW.ANFGC.ORG,"4401 STEELES AVE WTORONTO, OntarioM3N2S4CA"
Charitable Organization,Advancement of Religion,Christianity / Baptist,820671972RR0001,www.ansbctoronto.org,"103 - 3544 BATHURST STNORTH YORK, OntarioM6A2C6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,140644667RR0001,WWW.LIGHTHOUSECANADA.ORG,"2215 SANDMAN CRES.ORLEANS, OntarioK4A4V6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,889206892RR0001,n/a,"41 FINCHGATE BOULEVARDBRAMPTON, OntarioL6T3H8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,138197587RR0001,n/a,"FALCON BEACH P.O. BOX 250FALCON LAKE, ManitobaR0E0N0CA"
Charitable Organization,Advancement of Religion,Christianity / United,106702699RR0001,n/a,"400 ANTWERP AVENUESUDBURY AVENUE, OntarioP3C4M7CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783406RR0002,n/a,"3829 RUE PRINCIPALEDUNHAM, QuebecJ0E1M0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,106702756RR0001,WWW.ALLSAINTSKINGCITY.COM,"12935 KEELE STREETKING CITY, OntarioL7B1G2CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,106702806RR0002,ALLSAINTSWINDSOR.CA,"330 CITY HALL SQUARE WWINDSOR, OntarioN9A1J3CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783109RR0002,n/a,"44 PINE STREET, BOX 855CONISTON, OntarioP0M1M0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783117RR0001,n/a,"PO BOX 309MATLOCK, ManitobaR0C2B0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783133RR0001,n/a,"BOX 328MELVILLE, SaskatchewanS0A2P0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783141RR0001,n/a,"PO BOX 276MELFORT, SaskatchewanS0E1A0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783158RR0001,n/a,"PO BOX 96LA RONGE, SaskatchewanS0J1L0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783190RR0002,n/a,"PO BOX 39BEAR CANYON, AlbertaT0H0B0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,130113798RR0001,ALLSAINTSMEDICINEHAT.COM,"606-12 ST SWMEDICINE HAT, AlbertaT1A4V2CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,132960550RR0002,n/a,"248 N. VIDAL STREETSARNIA, OntarioN7T5Y4CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,870079886RR0001,n/a,"5212 47 AVENUEDRAYTON VALLEY, AlbertaT7A1K8CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,889162772RR0001,n/a,"239 3RD STREETWEYBURN, SaskatchewanS4H0W5CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,887394260RR0001,n/a,"219 CH MAINENTRY ISLAND, QuebecG4T1Z6CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,819511882RR0001,WWW.ASNACHURCH.COM,"1002 WETHERBY LANEMISSISSAUGA, OntarioL4W2S4CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,888025848RR0001,n/a,"BOX 656INDIAN HEAD, SaskatchewanS0G2K0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,133279620RR0002,WWW.ALLSAINTSANGLICAN.CA,"9902 MANNING AVEFORT MCMURRAY, AlbertaT9H2B9CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,701953689RR0001,n/a,"PO BOX 1617BONAVISTA, Newfoundland and LabradorA0C1B0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,889441242RR0002,n/a,"10035-103 STREETEDMONTON, AlbertaT5J0X5CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,106702764RR0001,WWW.ALLSAINTSWHITBY.ORG,"300 DUNDAS ST WWHITBY, OntarioL1N2M5CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,106702780RR0001,WWW.ALLSAINTSCOLLINGWOOD.COM,"32 ELGIN STREETCOLLINGWOOD, OntarioL9Y4V2CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,106702970RR0002,WWW.ALLSAINTSHUNTSVILLE.CA,"30 HIGH ST.HUNTSVILLE, OntarioP1H1N9CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783356RR0002,n/a,"521 PLEASANT ST, PO BOX 506KINGSTON, Nova ScotiaB0P1R0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783372RR0001,n/a,"P.O. BOX 1611SEPT-ILES, QuebecG4R4X9CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783422RR0002,WWW.ALLSAINTSDEUXMONTAGNES.CA,"248, 18TH AVENUEDEUX MONTAGNES, QuebecJ7R4B1CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783430RR0001,WWW.ALLSAINTSPETERBOROUGH.ORG,"235 RUBIDGE STREETPETERBOROUGH, OntarioK9J3N9CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783554RR0002,n/a,"688 MT. PLEASANT RD.MT PLEASANT, OntarioN0E1K0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783562RR0002,ALLSAINTSWATERLOO.CA,"400 NORTHFIELD DR WWATERLOO, OntarioN2L0A6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,118783620RR0002,n/a,"619 WELLINGTON ST ESAULT STE. MARIE, OntarioP6A2M6CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783653RR0002,n/a,"175 COLONY STREETWINNIPEG, ManitobaR3C1W2CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783695RR0001,n/a,"PO BOX 22LASHBURN, SaskatchewanS0M1H0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783711RR0001,n/a,"PO BOX 327EDAM, SaskatchewanS0M0V0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,118783729RR0001,n/a,"PO BOX 658SHAUNAVON, SaskatchewanS0N2M0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,131369209RR0001,n/a,"PO BOX 863WATROUS, SaskatchewanS0K4T0CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,132001884RR0001,ALLSAINTSSASKATOON.ORG,"1801 LORNE AVESASKATOON, SaskatchewanS7H1Y5CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,135347524RR0002,n/a,"PO BOX 100GORE BAY, OntarioP0P1H0CA"
